"","from_skill","to_skill","link_probability","start_skill_relevance","end_skill_relevance","skillType_from","reuseLevel_from","skillType_to","reuseLevel_to"
"1","statistics","service-oriented modelling",0.82,1030,71,"knowledge","cross-sector","knowledge","sector-specific"
"2","statistics","ICT system integration",0.82,1030,50,"knowledge","cross-sector","knowledge","sector-specific"
"3","statistics","computer science",0.82,1030,160,"knowledge","cross-sector","knowledge","cross-sector"
"4","statistics","repossession",0.82,1030,25,"knowledge","cross-sector","knowledge","cross-sector"
"5","statistics","entrepreneurship",0.82,1030,37,"knowledge","cross-sector","knowledge","cross-sector"
"6","statistics","schedule production",0.82,1030,19,"knowledge","cross-sector","skill/competence","cross-sector"
"7","statistics","team building",0.84,1030,45,"knowledge","cross-sector","knowledge","occupation-specific"
"8","statistics","show initiative",0.83,1030,21,"knowledge","cross-sector","skill/competence","transversal"
"9","statistics","industrial software",0.84,1030,14,"knowledge","cross-sector","knowledge","cross-sector"
"10","statistics","work in textile manufacturing teams",0.84,1030,12,"knowledge","cross-sector","skill/competence","sector-specific"
"11","statistics","communicate with customers",0.84,1030,25,"knowledge","cross-sector","skill/competence","cross-sector"
"12","statistics","leasing process",0.85,1030,25,"knowledge","cross-sector","knowledge","cross-sector"
"13","statistics","business intelligence",0.85,1030,78,"knowledge","cross-sector","knowledge","cross-sector"
"14","statistics","manufacturing processes",0.85,1030,16,"knowledge","cross-sector","knowledge","cross-sector"
"15","statistics","manage several projects",0.85,1030,46,"knowledge","cross-sector","skill/competence","cross-sector"
"16","statistics","social sciences",0.86,1030,19,"knowledge","cross-sector","knowledge","cross-sector"
"17","statistics","work in an international environment",0.86,1030,21,"knowledge","cross-sector","skill/competence","sector-specific"
"18","statistics","market research",0.87,1030,18,"knowledge","cross-sector","knowledge","cross-sector"
"19","statistics","ICT system programming",0.87,1030,18,"knowledge","cross-sector","knowledge","sector-specific"
"20","statistics","implement ICT recovery system",0.87,1030,16,"knowledge","cross-sector","skill/competence","sector-specific"
"21","statistics","work in teams",0.87,1030,51,"knowledge","cross-sector","skill/competence","transversal"
"22","statistics","production processes",0.88,1030,17,"knowledge","cross-sector","knowledge","cross-sector"
"23","statistics","mechanical engineering",0.88,1030,49,"knowledge","cross-sector","knowledge","sector-specific"
"24","statistics","integrated circuits",0.88,1030,13,"knowledge","cross-sector","knowledge","cross-sector"
"25","statistics","surveying",0.88,1030,23,"knowledge","cross-sector","knowledge","cross-sector"
"26","statistics","quality control systems",0.89,1030,10,"knowledge","cross-sector","knowledge","sector-specific"
"27","statistics","business knowledge",0.89,1030,18,"knowledge","cross-sector","knowledge","sector-specific"
"28","statistics","data analytics",0.89,1030,68,"knowledge","cross-sector","knowledge","cross-sector"
"29","statistics","machine learning",0.89,1030,58,"knowledge","cross-sector","knowledge","cross-sector"
"30","statistics","sales activities",0.9,1030,18,"knowledge","cross-sector","knowledge","sector-specific"
"31","statistics","securities",0.9,1030,182,"knowledge","cross-sector","knowledge","cross-sector"
"32","statistics","manage a team",0.89,1030,28,"knowledge","cross-sector","skill/competence","cross-sector"
"33","statistics","manage quantitative data",0.9,1030,12,"knowledge","cross-sector","skill/competence","cross-sector"
"34","statistics","ethics",0.9,1030,20,"knowledge","cross-sector","knowledge","cross-sector"
"35","statistics","think innovately",0.9,1030,110,"knowledge","cross-sector","skill/competence","transversal"
"36","statistics","energy efficiency",0.91,1030,11,"knowledge","cross-sector","knowledge","sector-specific"
"37","statistics","office software",0.91,1030,11,"knowledge","cross-sector","knowledge","cross-sector"
"38","statistics","work independently",0.91,1030,107,"knowledge","cross-sector","skill/competence","transversal"
"39","statistics","manage schedule of tasks",0.91,1030,12,"knowledge","cross-sector","skill/competence","cross-sector"
"40","statistics","financial jurisdiction",0.92,1030,22,"knowledge","cross-sector","knowledge","cross-sector"
"41","statistics","deep learning",0.92,1030,14,"knowledge","cross-sector","knowledge","cross-sector"
"42","statistics","robotics",0.92,1030,35,"knowledge","cross-sector","knowledge","cross-sector"
"43","statistics","design thinking",0.92,1030,30,"knowledge","cross-sector","knowledge","cross-sector"
"44","statistics","financial management",0.92,1030,33,"knowledge","cross-sector","knowledge","cross-sector"
"45","statistics","customer insight",0.93,1030,10,"knowledge","cross-sector","knowledge","sector-specific"
"46","statistics","manage contracts",0.92,1030,35,"knowledge","cross-sector","skill/competence","cross-sector"
"47","statistics","industrial engineering",0.93,1030,24,"knowledge","cross-sector","knowledge","cross-sector"
"48","statistics","operating systems",0.93,1030,10,"knowledge","cross-sector","knowledge","sector-specific"
"49","statistics","build networks",0.93,1030,10,"knowledge","cross-sector","skill/competence","transversal"
"50","statistics","think analytically",0.93,1030,24,"knowledge","cross-sector","skill/competence","transversal"
"51","statistics","cloud technologies",0.94,1030,33,"knowledge","cross-sector","knowledge","sector-specific"
"52","statistics","manage the customer experience",0.93,1030,10,"knowledge","cross-sector","skill/competence","cross-sector"
"53","statistics","basic chemicals",0.94,1030,15,"knowledge","cross-sector","knowledge","cross-sector"
"54","statistics","electrical engineering",0.94,1030,34,"knowledge","cross-sector","knowledge","cross-sector"
"55","statistics","data mining",0.94,1030,10,"knowledge","cross-sector","knowledge","sector-specific"
"56","statistics","ecosystems",0.94,1030,12,"knowledge","cross-sector","knowledge","cross-sector"
"57","statistics","application process",0.94,1030,45,"knowledge","cross-sector","knowledge","occupation-specific"
"58","statistics","general medicine",0.94,1030,10,"knowledge","cross-sector","knowledge","cross-sector"
"59","statistics","customer relationship management",0.94,1030,12,"knowledge","cross-sector","knowledge","cross-sector"
"60","statistics","energy market",0.95,1030,14,"knowledge","cross-sector","knowledge","cross-sector"
"61","statistics","detect bottlenecks",0.94,1030,10,"knowledge","cross-sector","skill/competence","cross-sector"
"62","statistics","conduct cleaning tasks",0.95,1030,38,"knowledge","cross-sector","skill/competence","sector-specific"
"63","statistics","civil engineering",0.95,1030,17,"knowledge","cross-sector","knowledge","cross-sector"
"64","statistics","cyber security",0.95,1030,18,"knowledge","cross-sector","knowledge","sector-specific"
"65","statistics","meet deadlines",0.95,1030,26,"knowledge","cross-sector","skill/competence","cross-sector"
"66","statistics","show commitment",0.95,1030,38,"knowledge","cross-sector","skill/competence","transversal"
"67","statistics","computer engineering",0.95,1030,24,"knowledge","cross-sector","knowledge","cross-sector"
"68","statistics","cooperate with colleagues",0.95,1030,29,"knowledge","cross-sector","skill/competence","cross-sector"
"69","statistics","apply strategic thinking",0.95,1030,12,"knowledge","cross-sector","skill/competence","cross-sector"
"70","statistics","hardware testing methods",0.96,1030,13,"knowledge","cross-sector","knowledge","cross-sector"
"71","statistics","concepts of telecommunications",0.96,1030,11,"knowledge","cross-sector","knowledge","sector-specific"
"72","statistics","promote ideas, products, services",0.96,1030,20,"knowledge","cross-sector","skill","transversal skills and competences"
"73","statistics","mechanics",0.96,1030,12,"knowledge","cross-sector","knowledge","cross-sector"
"74","statistics","financial forecasting",0.96,1030,16,"knowledge","cross-sector","knowledge","cross-sector"
"75","statistics","football",0.96,1030,10,"knowledge","cross-sector","knowledge","occupation-specific"
"76","statistics","sales department processes",0.96,1030,11,"knowledge","cross-sector","knowledge","cross-sector"
"77","think creatively","market research",0.81,852,18,"skill/competence","transversal","knowledge","cross-sector"
"78","think creatively","ICT system programming",0.82,852,18,"skill/competence","transversal","knowledge","sector-specific"
"79","think creatively","implement ICT recovery system",0.81,852,16,"skill/competence","transversal","skill/competence","sector-specific"
"80","think creatively","work in teams",0.81,852,51,"skill/competence","transversal","skill/competence","transversal"
"81","think creatively","production processes",0.82,852,17,"skill/competence","transversal","knowledge","cross-sector"
"82","think creatively","mechanical engineering",0.83,852,49,"skill/competence","transversal","knowledge","sector-specific"
"83","think creatively","integrated circuits",0.83,852,13,"skill/competence","transversal","knowledge","cross-sector"
"84","think creatively","surveying",0.83,852,23,"skill/competence","transversal","knowledge","cross-sector"
"85","think creatively","quality control systems",0.84,852,10,"skill/competence","transversal","knowledge","sector-specific"
"86","think creatively","business knowledge",0.84,852,18,"skill/competence","transversal","knowledge","sector-specific"
"87","think creatively","data analytics",0.84,852,68,"skill/competence","transversal","knowledge","cross-sector"
"88","think creatively","machine learning",0.84,852,58,"skill/competence","transversal","knowledge","cross-sector"
"89","think creatively","sales activities",0.85,852,18,"skill/competence","transversal","knowledge","sector-specific"
"90","think creatively","securities",0.85,852,182,"skill/competence","transversal","knowledge","cross-sector"
"91","think creatively","manage a team",0.84,852,28,"skill/competence","transversal","skill/competence","cross-sector"
"92","think creatively","manage quantitative data",0.85,852,12,"skill/competence","transversal","skill/competence","cross-sector"
"93","think creatively","ethics",0.86,852,20,"skill/competence","transversal","knowledge","cross-sector"
"94","think creatively","think innovately",0.86,852,110,"skill/competence","transversal","skill/competence","transversal"
"95","think creatively","energy efficiency",0.87,852,11,"skill/competence","transversal","knowledge","sector-specific"
"96","think creatively","office software",0.87,852,11,"skill/competence","transversal","knowledge","cross-sector"
"97","think creatively","work independently",0.87,852,107,"skill/competence","transversal","skill/competence","transversal"
"98","think creatively","manage schedule of tasks",0.86,852,12,"skill/competence","transversal","skill/competence","cross-sector"
"99","think creatively","financial jurisdiction",0.87,852,22,"skill/competence","transversal","knowledge","cross-sector"
"100","think creatively","deep learning",0.88,852,14,"skill/competence","transversal","knowledge","cross-sector"
"101","think creatively","robotics",0.88,852,35,"skill/competence","transversal","knowledge","cross-sector"
"102","think creatively","design thinking",0.88,852,30,"skill/competence","transversal","knowledge","cross-sector"
"103","think creatively","financial management",0.88,852,33,"skill/competence","transversal","knowledge","cross-sector"
"104","think creatively","customer insight",0.89,852,10,"skill/competence","transversal","knowledge","sector-specific"
"105","think creatively","manage contracts",0.88,852,35,"skill/competence","transversal","skill/competence","cross-sector"
"106","think creatively","industrial engineering",0.89,852,24,"skill/competence","transversal","knowledge","cross-sector"
"107","think creatively","operating systems",0.9,852,10,"skill/competence","transversal","knowledge","sector-specific"
"108","think creatively","build networks",0.89,852,10,"skill/competence","transversal","skill/competence","transversal"
"109","think creatively","think analytically",0.9,852,24,"skill/competence","transversal","skill/competence","transversal"
"110","think creatively","cloud technologies",0.91,852,33,"skill/competence","transversal","knowledge","sector-specific"
"111","think creatively","manage the customer experience",0.9,852,10,"skill/competence","transversal","skill/competence","cross-sector"
"112","think creatively","basic chemicals",0.9,852,15,"skill/competence","transversal","knowledge","cross-sector"
"113","think creatively","electrical engineering",0.91,852,34,"skill/competence","transversal","knowledge","cross-sector"
"114","think creatively","data mining",0.91,852,10,"skill/competence","transversal","knowledge","sector-specific"
"115","think creatively","ecosystems",0.91,852,12,"skill/competence","transversal","knowledge","cross-sector"
"116","think creatively","application process",0.91,852,45,"skill/competence","transversal","knowledge","occupation-specific"
"117","think creatively","general medicine",0.91,852,10,"skill/competence","transversal","knowledge","cross-sector"
"118","think creatively","customer relationship management",0.92,852,12,"skill/competence","transversal","knowledge","cross-sector"
"119","think creatively","energy market",0.92,852,14,"skill/competence","transversal","knowledge","cross-sector"
"120","think creatively","detect bottlenecks",0.91,852,10,"skill/competence","transversal","skill/competence","cross-sector"
"121","think creatively","conduct cleaning tasks",0.92,852,38,"skill/competence","transversal","skill/competence","sector-specific"
"122","think creatively","civil engineering",0.92,852,17,"skill/competence","transversal","knowledge","cross-sector"
"123","think creatively","cyber security",0.93,852,18,"skill/competence","transversal","knowledge","sector-specific"
"124","think creatively","meet deadlines",0.92,852,26,"skill/competence","transversal","skill/competence","cross-sector"
"125","think creatively","show commitment",0.93,852,38,"skill/competence","transversal","skill/competence","transversal"
"126","think creatively","computer engineering",0.93,852,24,"skill/competence","transversal","knowledge","cross-sector"
"127","think creatively","cooperate with colleagues",0.93,852,29,"skill/competence","transversal","skill/competence","cross-sector"
"128","think creatively","apply strategic thinking",0.93,852,12,"skill/competence","transversal","skill/competence","cross-sector"
"129","think creatively","hardware testing methods",0.93,852,13,"skill/competence","transversal","knowledge","cross-sector"
"130","think creatively","concepts of telecommunications",0.94,852,11,"skill/competence","transversal","knowledge","sector-specific"
"131","think creatively","promote ideas, products, services",0.93,852,20,"skill/competence","transversal","skill","transversal skills and competences"
"132","think creatively","mechanics",0.94,852,12,"skill/competence","transversal","knowledge","cross-sector"
"133","think creatively","financial forecasting",0.94,852,16,"skill/competence","transversal","knowledge","cross-sector"
"134","think creatively","football",0.94,852,10,"skill/competence","transversal","knowledge","occupation-specific"
"135","think creatively","sales department processes",0.94,852,11,"skill/competence","transversal","knowledge","cross-sector"
